,c2f6,c3f8,c4f10,c5f12,c6f14,c7f16,c8f18,c_c4f8,carbon_dioxide,carbon_tetrachloride,cf4,cfc113,cfc114,cfc115,cfc11,cfc12,ch2cl2,ch3ccl3,chcl3,halon1211,halon1301,halon2402,halon1202,hcfc141b,hcfc142b,hcfc22,hfc125,hfc134a,hfc143a,hfc152a,hfc227ea,hfc236fa,hfc23,hfc245fa,hfc32,hfc365mfc,hfc4310mee,methane,methyl_bromide,methyl_chloride,nf3,nitrous_oxide,sf6,so2f2,so2,nox,co,nmvoc,bc,nh3,oc,nox_avi
1877,3.1375456e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8438162545631148,2.4856862000000002e-05,1.0810839e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.406519099999998e-09,0.0,0.0,0.0,4.833095099999e-07,0.0,0.0,63.64524258623489,0.10492824,4.2673608000000005,0.0,0.6121154475279741,0.0,1.7514258e-08,9.510372735561647,14.496477320282102,434.0603459961696,68.7783807279057,2.881579172917859,10.897021601068372,19.089059096309025,0.0001784126664396
1878,3.1854156000000004e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8516530339776136,2.4856862000000002e-05,1.0810853e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4421234000000005e-09,0.0,0.0,0.0,4.8731959e-07,0.0,0.0,64.71120382869425,0.10492472,4.267175900000001,0.0,0.6376025327198181,0.0,1.7631627e-08,9.59766004197736,14.790857471244523,437.9599497693981,69.46979574102357,2.905036494302108,10.998945344161124,19.22817130569276,0.0002190107757353
1879,3.2347460000000003e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8710648454327806,2.4856862000000002e-05,1.0810868e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.474183400000002e-09,0.0,0.0,0.0,4.9092116e-07,0.0,0.0,65.90279841258594,0.10488028,4.2648396,0.0,0.6588070321148536,0.0,1.774758e-08,10.093523219758184,14.607011947076726,440.8517590737373,70.08572001647862,2.9292586401809286,11.181505690638431,19.487315389320717,0.0003032143945894
1880,3.2855365e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9034445578849294,2.4856862000000002e-05,1.0810144e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5101807e-09,0.0,0.0,0.0,4.949765200000001e-07,0.0,0.0,66.66498430210106,0.10488174,4.2649162,0.0,0.6726555143666527,0.0,1.7865105e-08,10.936322336520524,14.40860199170044,437.365727538686,69.18788119083449,2.921172062464678,11.210570347061363,19.32682128004249,0.000394975131027
1881,3.3377873e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9470601664989982,2.4856862000000002e-05,1.1551087999999999e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5502216e-09,0.0,0.0,0.0,4.9949792e-07,0.0,0.0,67.70670094788971,0.10492914,4.2674079,0.0,0.680513013476252,0.0,1.7984248e-08,11.293506730684229,14.885095684041412,440.9737248225101,69.70896888997471,2.9628772256083247,11.27474846422196,19.327166243417963,0.0004819569214922
1882,3.3915105e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9105687975577493,2.4856862000000002e-05,1.1550379e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.585991e-09,0.0,0.0,0.0,5.0352702e-07,0.0,0.0,68.57787523920716,0.10492759,4.2673266000000005,0.0,0.6891304247457244,0.0,1.8101683e-08,11.738848201266975,14.484440945619417,436.0786301154982,68.75016748711803,2.944345851005832,11.343220962302505,19.158162285322444,0.0005637959645801
1883,3.446746499999e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931572394576277,2.4856862000000002e-05,1.0810957e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6247084000000004e-09,0.0,0.0,0.0,5.0789587e-07,0.0,0.0,69.18597910133236,0.10495902,4.268979000000001,0.0,0.6957460933542875,0.0,1.8220297000000002e-08,12.254384026795949,14.270504913420991,428.2212034304951,67.06254475755776,2.918084088079926,11.301072778092928,18.709361365312684,0.0005280795779593
1884,3.503391e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9367528164497287,2.4856862000000002e-05,1.0810972e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6585019e-09,0.0,0.0,0.0,5.116972400000001e-07,0.0,0.0,70.48060514662333,0.10493535,4.2677344999999995,0.0,0.7015629333536325,0.0,1.8336942e-08,12.467245528478312,14.80607458863925,436.5183491794865,68.59402326244992,2.978158739837645,11.463778568830996,19.009889976177178,0.0006451377240989
1885,3.5614909e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9445196731861791,2.4856862000000002e-05,1.1550438e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6946521e-09,0.0,0.0,0.0,5.1577023e-07,0.0,0.0,71.60546241341835,0.10493798,4.2678727,0.0,0.7077622278220687,0.0,1.8454529e-08,12.570266226675043,14.757077388144165,438.1415385380004,68.94977818435397,2.987658653242268,11.603153567015962,19.20686906057728,0.0007308508471881
1886,3.621046e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9494698141373156,2.4856862000000002e-05,1.1550467e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7303567999999994e-09,0.0,0.0,0.0,5.1979186e-07,0.0,0.0,72.58254388217381,0.10493569999999999,4.2677531,0.0,0.7125032738268683,0.0,1.8571938000000003e-08,12.686263225278177,14.8946765949723,437.7333268549245,68.86926284379062,3.000148376276361,11.675797474801133,19.067819582095456,0.0008833867141287
