"sample_id","global_temp_anomaly","thermal_box_1","thermal_box_2","thermal_box_3"
"mem11201",0.7340726533875552,0.27171957124362073,0.39149779823233527,0.09855253347416669
"mem112064",0.9017192452519845,0.29401109496581185,0.4881470942611429,0.147795852283853
"mem112074",0.7805465981742171,0.2795157845204117,0.4090209220754331,0.12216346749332323
"mem112290",1.006284652424004,0.5627503091698698,0.37059331993821304,0.09119357081259416
"mem112396",0.6954977124013012,0.2130671656810138,0.42722038425428815,0.07361326609845359
"mem112443",0.674876304387134,0.3655229880943455,0.19100559111103801,0.14497460726551137
"mem112500",0.6357539046719624,0.11739828374728248,0.42222001181697655,0.13009487498851177
"mem112588",0.8883123100239726,0.5005688761274496,0.34277640407124993,0.07234139419032999
"mem112687",0.8394595790352974,0.1927580406192396,0.6269127452788832,0.059388472012848754
"mem11281",0.9731966143839136,0.4988740751663181,0.44385183747589424,0.05336973603037806
"mem112897",0.9940312807674897,0.06549474031719335,0.8810736954985536,0.07505103384350148
"mem112970",0.860331415897792,0.2953766262905701,0.49630482069446397,0.09517841522872272
"mem112973",0.6040214208141065,0.2770115673300089,0.3524893495463511,0.005999411155208097
"mem113084",1.2237566862580482,0.261434816483296,0.9636315497393094,0.031518302130941776
"mem113132",0.5484007601693052,0.3382471882443425,0.1880670626231206,0.05402850854142568
"mem113152",0.8099614385205927,0.2894731250009134,0.5307099987792737,0.01020662499623218
"mem113199",0.6457664403267941,0.39860307330393163,0.19130920079910457,0.0724165953969798
"mem113214",0.9169225576911785,0.6365215177521881,0.15998205388848694,0.15151452011827773
"mem113279",0.9621780731285362,0.6127112320025399,0.23091049967233893,0.1342112353352895
"mem113333",0.9370601956116905,0.44692974621092185,0.3958317978534269,0.1156977606412263
"mem113506",0.7257488478263644,0.4272585057613638,0.273532292288004,0.05664141569234117
"mem113530",0.7939000587628589,0.4624137520642475,0.29950417013824693,0.06418773123326144
"mem113621",0.8855601967531759,0.6656179329344418,0.16314950529050748,0.07710168216477288
"mem113683",0.8365004952102416,0.28701150840367473,0.5392521746972133,0.0360775178701977
"mem11376",0.8167334622631094,0.36901534835895045,0.4452734988773075,0.03408276974372854
"mem113762",0.7881914321040847,0.39457267024718035,0.30336891877721983,0.11228931735542226
"mem113824",0.7558439544352695,0.029902923704411458,0.7144122457528035,0.04001925369549157
"mem113875",0.8847594477498648,0.27718125234146973,0.6389327291221871,0.006053981162882062
"mem113901",0.8762392912893034,0.3539895891042749,0.5316399448687432,0.022825290750657874
"mem113909",0.8059593523521914,0.2120638326964537,0.49654075291707883,0.12806735565732547
"mem113950",0.8969754517228716,0.4513232240072541,0.44886488565914184,0.02163519694157625
